,start,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,end
0,<start>,26.91349,State-gov,23740,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,34.12397,United-States,>50K,<end>
1,<start>,27.94126,Private,176137,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
2,<start>,41.79034,Local-gov,321851,Doctorate,15.95863,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,54.59815,United-States,>50K,<end>
3,<start>,47.18696,Private,249072,Assoc-voc,10.91349,Married-civ-spouse,Tech-support,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
4,<start>,27.94126,Private,176137,HS-grad,8.93521,Never-married,Adm-clerical,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
5,<start>,46.87664,Local-gov,321851,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
6,<start>,25.87494,Private,185251,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,49.89895,United-States,>50K,<end>
7,<start>,24.16617,Private,149040,Some-college,9.97418,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
8,<start>,27.94126,Local-gov,154863,HS-grad,8.93521,Divorced,Protective-serv,Other-relative,White,Male,0.00000,1096.10481,39.64639,United-States,<=50K,<end>
9,<start>,63.94239,?,193043,HS-grad,8.93521,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
10,<start>,63.94239,?,311764,7th-8th,3.97490,Divorced,Other-service,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
11,<start>,63.94239,Private,379062,HS-grad,8.93521,Married-civ-spouse,Sales,Husband,White,Male,0.00000,1095.63316,39.64639,United-States,<=50K,<end>
12,<start>,32.94546,Self-emp-not-inc,191544,Bachelors,12.93582,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
13,<start>,21.87085,Private,117618,Bachelors,12.93582,Married-civ-spouse,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
14,<start>,46.87664,Local-gov,321851,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Male,0.00000,1095.63316,58.55696,United-States,<=50K,<end>
15,<start>,46.26524,Private,235379,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,43.81604,United-States,>50K,<end>
16,<start>,44.78919,State-gov,311671,Assoc-voc,10.91349,Married-civ-spouse,Protective-serv,Husband,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
17,<start>,36.90524,?,177121,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,72.24044,United-States,>50K,<end>
18,<start>,46.87664,Private,30457,Assoc-voc,10.91349,Married-civ-spouse,Other-service,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
19,<start>,22.95875,Private,166497,HS-grad,8.93521,Never-married,Sales,Own-child,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
20,<start>,36.90524,Private,166497,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,46.06254,United-States,<=50K,<end>
21,<start>,27.94126,Private,176137,HS-grad,8.93521,Divorced,Other-service,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
22,<start>,40.77909,Local-gov,401134,Masters,13.87377,Divorced,Exec-managerial,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
23,<start>,21.64065,Private,29702,HS-grad,8.93521,Divorced,Sales,Own-child,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
24,<start>,27.94126,Private,176137,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
25,<start>,47.81698,State-gov,178686,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,49.89895,United-States,>50K,<end>
26,<start>,27.94126,Private,176137,HS-grad,8.93521,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
