age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
28,entrepreneur,single,unknown,no,248,no,no,unknown,28,may,66,5,0,0,unknown,no
32,management,single,tertiary,no,1128,yes,no,cellular,22,apr,693,1,1,0,failure,yes
27,management,single,tertiary,no,728,yes,no,cellular,8,may,385,1,0,0,unknown,no
44,blue-collar,married,secondary,no,205,yes,no,cellular,14,feb,95,1,-1,0,unknown,no
43,entrepreneur,married,primary,no,95,yes,no,telephone,30,jul,971,3,-1,0,unknown,no
36,blue-collar,single,secondary,no,391,yes,no,cellular,22,may,109,2,0,0,unknown,no
35,entrepreneur,single,tertiary,no,106,no,no,cellular,11,oct,686,1,186,2,success,yes
28,student,single,tertiary,no,1604,no,no,cellular,20,apr,1038,1,97,4,success,yes
32,admin.,single,secondary,no,1147,yes,no,cellular,21,feb,262,1,194,1,failure,no
43,blue-collar,divorced,secondary,no,300,yes,yes,cellular,13,nov,62,1,366,3,failure,no
45,entrepreneur,divorced,secondary,no,594,yes,no,telephone,18,apr,213,1,0,0,unknown,no
35,blue-collar,single,secondary,no,2542,no,no,cellular,29,oct,326,1,183,1,success,yes
40,admin.,single,secondary,no,1647,yes,no,cellular,16,nov,1066,3,185,4,failure,yes
53,management,single,tertiary,no,2639,no,no,cellular,19,jan,1124,3,-1,0,unknown,yes
28,management,single,tertiary,no,1791,no,no,cellular,13,jan,297,2,572,2,success,yes
45,technician,single,secondary,no,2013,no,no,cellular,6,feb,962,1,0,1,success,yes
27,management,single,secondary,yes,3334,yes,no,cellular,15,jul,1102,3,-1,0,unknown,yes
42,admin.,married,secondary,no,747,no,no,cellular,29,feb,349,1,-1,0,unknown,yes
34,technician,married,secondary,no,158,yes,no,cellular,23,jul,629,3,0,0,unknown,yes
30,entrepreneur,single,tertiary,no,2885,no,no,unknown,23,may,1111,1,-1,0,unknown,yes
53,blue-collar,married,primary,no,280,yes,no,cellular,12,may,268,2,-1,0,unknown,no
40,technician,single,secondary,no,1687,yes,no,unknown,14,may,303,1,-1,0,unknown,yes
50,management,married,tertiary,no,2109,yes,no,cellular,20,jul,146,3,-1,0,unknown,no
47,management,married,unknown,no,195,no,no,telephone,8,feb,1809,2,-1,0,unknown,yes
27,self-employed,single,tertiary,no,228,no,no,cellular,18,feb,1219,4,-1,0,success,yes
28,unemployed,single,tertiary,no,839,no,no,cellular,9,aug,899,4,123,3,success,yes
43,services,married,primary,no,399,yes,yes,unknown,24,may,77,2,90,3,success,no
36,blue-collar,divorced,secondary,no,58,yes,yes,unknown,6,may,122,3,-1,0,unknown,no
31,blue-collar,single,secondary,no,357,yes,no,cellular,14,nov,177,1,0,0,unknown,no
57,admin.,married,tertiary,yes,-162,no,no,cellular,2,aug,295,2,-1,0,unknown,no
44,technician,married,secondary,no,387,yes,no,telephone,6,jun,1190,2,328,1,success,yes
26,technician,single,secondary,no,3668,no,no,cellular,24,mar,953,1,186,4,failure,yes
25,management,single,tertiary,no,1067,no,no,cellular,10,jan,365,2,408,1,success,yes
37,management,single,tertiary,no,1446,no,no,cellular,29,aug,403,6,-1,0,unknown,no
59,management,married,tertiary,no,4487,no,no,unknown,15,jun,155,6,-1,0,unknown,no
41,technician,married,secondary,no,2152,yes,no,cellular,23,mar,944,1,168,2,success,yes
58,blue-collar,married,primary,no,192,yes,no,unknown,5,may,102,3,-1,0,unknown,no
70,retired,married,unknown,no,29,no,no,cellular,31,oct,883,3,-1,0,unknown,yes
34,blue-collar,single,secondary,no,1725,yes,no,telephone,16,may,117,1,652,2,other,no
22,student,single,unknown,no,364,no,no,cellular,31,aug,1116,3,0,0,unknown,yes
36,management,single,primary,no,314,no,no,cellular,5,jan,132,4,188,2,success,yes
