age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
40,technician,single,secondary,no,835,yes,no,unknown,30,may,321,2,-1,0,unknown,no
50,management,married,tertiary,no,3216,yes,no,cellular,23,nov,92,1,0,0,unknown,no
53,management,married,tertiary,no,20606,yes,no,cellular,4,may,434,1,282,1,failure,yes
32,blue-collar,married,secondary,no,3741,yes,yes,cellular,15,nov,469,1,-1,0,unknown,no
38,admin.,married,secondary,no,1152,yes,yes,cellular,27,jul,372,1,-1,0,unknown,no
24,admin.,single,secondary,no,909,yes,no,cellular,10,may,417,1,80,4,failure,yes
29,admin.,single,secondary,no,3068,no,no,cellular,17,sep,188,1,173,4,success,yes
26,management,married,tertiary,no,2510,no,no,cellular,6,nov,216,3,-1,0,unknown,yes
35,services,single,tertiary,no,264,no,no,cellular,14,aug,151,8,-1,0,unknown,no
28,blue-collar,single,secondary,no,215,yes,yes,cellular,7,jul,277,1,-1,0,unknown,no
77,retired,married,primary,no,441,no,no,telephone,11,jul,905,5,183,1,success,yes
28,unknown,married,tertiary,no,3299,yes,no,cellular,10,nov,299,4,182,1,success,yes
24,admin.,single,secondary,no,270,yes,yes,cellular,13,may,54,8,-1,0,unknown,no
33,technician,single,secondary,no,2001,no,no,cellular,7,jan,206,1,-1,0,success,yes
34,technician,married,secondary,no,3434,no,no,cellular,20,feb,580,1,-1,0,unknown,yes
37,unemployed,married,tertiary,no,165,no,no,unknown,18,aug,943,2,0,0,unknown,yes
47,retired,divorced,tertiary,yes,-48,no,no,cellular,9,mar,825,2,-1,0,unknown,yes
44,management,married,tertiary,no,210,yes,no,cellular,18,nov,658,3,-1,3,unknown,no
45,blue-collar,married,tertiary,no,10488,yes,yes,cellular,20,jul,330,1,-1,0,unknown,yes
67,retired,married,secondary,no,5407,no,no,unknown,4,jun,829,1,0,0,unknown,yes
35,blue-collar,married,primary,no,395,no,no,cellular,5,may,312,2,-1,4,other,no
32,technician,single,secondary,no,-83,no,no,cellular,13,feb,191,1,183,4,failure,no
42,management,married,tertiary,no,7305,no,no,cellular,20,nov,312,2,0,0,unknown,yes
56,blue-collar,married,unknown,no,631,yes,no,telephone,3,nov,199,1,0,0,unknown,no
49,technician,divorced,tertiary,no,51,no,no,cellular,7,aug,616,1,-1,0,unknown,yes
36,technician,single,secondary,no,139,yes,no,cellular,16,may,450,2,65,6,success,yes
42,admin.,married,secondary,no,207,yes,yes,cellular,22,aug,784,2,-1,0,unknown,yes
28,technician,married,secondary,no,426,yes,no,unknown,21,may,135,2,0,0,unknown,no
49,retired,divorced,secondary,no,183,yes,no,unknown,21,aug,226,4,-1,0,unknown,yes
53,technician,married,secondary,yes,14,yes,yes,cellular,15,aug,349,1,0,0,unknown,yes
62,housemaid,married,secondary,no,468,no,yes,telephone,3,feb,240,3,-1,0,unknown,no
33,management,single,tertiary,no,1966,yes,no,unknown,14,mar,197,8,-1,0,unknown,yes
30,management,single,tertiary,no,5469,no,yes,cellular,25,aug,587,3,181,0,unknown,yes
80,retired,divorced,primary,no,9835,no,no,telephone,2,nov,624,1,94,1,success,yes
29,management,single,tertiary,no,609,yes,no,cellular,11,may,377,1,174,0,unknown,yes
25,unemployed,married,tertiary,no,4112,no,no,cellular,19,aug,186,1,177,9,success,yes
59,housemaid,married,primary,no,6301,yes,no,cellular,18,may,105,3,-1,0,other,no
40,blue-collar,married,unknown,no,5511,no,no,cellular,7,mar,1899,3,-1,0,unknown,yes
34,student,single,unknown,no,107,no,yes,cellular,21,may,348,3,0,0,unknown,yes
42,student,married,unknown,no,139,no,no,cellular,3,feb,12,1,191,1,success,no
41,technician,married,tertiary,no,2824,no,no,cellular,5,aug,325,2,0,0,unknown,yes
52,retired,married,primary,no,11964,no,no,cellular,8,jul,397,2,-1,0,unknown,yes
42,admin.,married,secondary,no,626,no,no,unknown,2,feb,124,1,-1,0,unknown,no
63,retired,married,secondary,no,56,no,no,cellular,16,dec,145,1,-1,0,unknown,no
32,unemployed,single,secondary,no,2646,yes,no,cellular,19,may,714,3,-1,0,unknown,yes
27,technician,single,unknown,no,1497,no,no,unknown,30,may,925,1,0,0,unknown,no
63,management,married,unknown,no,882,no,no,cellular,19,jul,264,2,0,0,unknown,no
44,self-employed,married,tertiary,no,1348,no,yes,cellular,27,mar,266,3,-1,0,unknown,no
42,management,married,tertiary,yes,1314,yes,no,cellular,19,nov,188,4,-1,0,unknown,no
49,technician,single,unknown,no,416,no,no,cellular,23,aug,106,7,0,0,unknown,no
