age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
44,Private,176274,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,1,40,United-States,<=50K
38,?,154947,Some-college,10,Widowed,?,Not-in-family,White,Male,8,1854,40,United-States,<=50K
41,Local-gov,220015,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,11,0,35,United-States,<=50K
41,Federal-gov,35797,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,125460,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,1,50,Japan,>50K
48,Local-gov,715590,9th,5,Divorced,Other-service,Not-in-family,Black,Male,8,0,35,United-States,<=50K
30,Private,221483,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,18,0,40,Portugal,<=50K
74,Self-emp-not-inc,159118,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1,40,United-States,<=50K
48,Local-gov,219451,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,22,1,40,United-States,>50K
31,Private,187685,Masters,14,Never-married,Exec-managerial,Other-relative,White,Female,1,1,53,?,<=50K
20,Private,220345,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,28,United-States,<=50K
41,Private,190429,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,Outlying-US(Guam-USVI-etc),<=50K
71,?,116390,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,1,40,United-States,<=50K
40,Private,190323,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,?,<=50K
38,Private,208717,Some-college,10,Separated,Other-service,Not-in-family,Other,Male,5,1,40,Dominican-Republic,<=50K
27,Private,104611,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
63,Self-emp-not-inc,117049,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Without-pay,201663,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,6,0,40,United-States,<=50K
20,Private,233762,HS-grad,9,Never-married,Transport-moving,Not-in-family,Other,Male,0,0,37,Nicaragua,<=50K
46,Private,184695,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,7,0,40,United-States,<=50K
57,Private,165196,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,3,1,45,United-States,<=50K
45,Self-emp-not-inc,114712,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,47,1953,44,United-States,>50K
27,Without-pay,162768,Bachelors,13,Separated,Farming-fishing,Not-in-family,White,Male,3811,1827,35,Puerto-Rico,<=50K
19,Private,212402,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,22,United-States,<=50K
43,?,320771,Some-college,10,Married-spouse-absent,?,Unmarried,Black,Female,7517,0,40,United-States,<=50K
59,Private,52415,11th,7,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Female,12,0,11,United-States,<=50K
29,Private,191557,10th,6,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,262376,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,4,0,31,United-States,<=50K
22,Local-gov,219619,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,0,0,21,United-States,<=50K
39,Local-gov,86971,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
37,Local-gov,135882,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Local-gov,164220,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,8,0,24,United-States,<=50K
20,Private,401570,10th,6,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
17,?,179927,Assoc-acdm,13,Never-married,?,Not-in-family,White,Male,0,0,34,United-States,<=50K
26,Private,152716,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,1,45,United-States,>50K
46,Private,179705,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,8,1,40,France,<=50K
38,Private,150327,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
22,Private,551067,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,29,United-States,<=50K
62,Self-emp-not-inc,128645,Prof-school,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,38,1875,67,United-States,>50K
