age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
18,Private,180532,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,26,United-States,<=50K
78,Private,304704,7th-8th,10,Widowed,Machine-op-inspct,Unmarried,White,Female,2,0,30,United-States,<=50K
23,State-gov,168509,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,1,26,United-States,<=50K
44,Federal-gov,139546,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,<=50K
33,Self-emp-inc,367928,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7810,0,63,United-States,>50K
57,Local-gov,138920,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,8,0,40,United-States,<=50K
55,Private,252311,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,0,1,40,Portugal,<=50K
68,Private,149519,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,24,United-States,<=50K
49,Self-emp-inc,164584,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15,0,73,United-States,>50K
23,Private,289183,Some-college,10,Divorced,?,Not-in-family,White,Male,14,0,40,United-States,<=50K
32,Private,133774,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,23,United-States,<=50K
53,Private,80368,HS-grad,3,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,1,10,Outlying-US(Guam-USVI-etc),<=50K
25,?,280864,Some-college,10,Never-married,?,Own-child,White,Male,4,0,21,United-States,<=50K
32,Private,68843,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,?,>50K
46,Private,124003,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,5,1,40,Puerto-Rico,<=50K
23,Private,47252,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,1,49,United-States,<=50K
58,Private,147156,12th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
35,Without-pay,198941,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,245564,7th-8th,4,Married-civ-spouse,Other-service,Wife,Other,Female,7,0,19,Puerto-Rico,<=50K
48,Private,133248,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Black,Male,12,0,40,United-States,<=50K
32,Private,248013,Bachelors,13,Separated,Exec-managerial,Unmarried,White,Female,17,0,40,Japan,<=50K
60,Self-emp-inc,46113,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,0,26,United-States,<=50K
30,Without-pay,186948,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4,0,40,United-States,<=50K
36,Private,147765,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,11,0,40,United-States,<=50K
53,Private,342782,Masters,14,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
65,Private,21897,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,40,England,<=50K
56,Private,38115,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,115945,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,6,0,69,?,>50K
23,Private,251358,7th-8th,6,Married-spouse-absent,Adm-clerical,Other-relative,White,Male,15,0,40,United-States,<=50K
32,Private,150942,11th,7,Never-married,Adm-clerical,Own-child,White,Female,15,0,40,Honduras,<=50K
34,Private,115359,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
44,Self-emp-inc,190165,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Female,0,1,45,United-States,<=50K
33,Private,32004,10th,6,Widowed,Handlers-cleaners,Not-in-family,White,Female,7,0,40,United-States,<=50K
25,Private,333136,Assoc-acdm,13,Never-married,Sales,Not-in-family,White,Male,3,0,51,United-States,<=50K
41,Self-emp-inc,181634,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,45,United-States,>50K
38,Private,21673,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2,0,50,France,>50K
41,Federal-gov,285511,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Male,7470,0,40,United-States,<=50K
32,State-gov,112017,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,6,0,31,United-States,<=50K
62,Self-emp-not-inc,57496,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,47,0,95,United-States,>50K
45,Local-gov,123224,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,51,United-States,>50K
23,Private,100948,HS-grad,9,Never-married,Other-service,Own-child,Other,Female,0,0,40,England,<=50K
42,Private,191604,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,7762,0,40,Hungary,<=50K
36,State-gov,122142,12th,9,Never-married,Craft-repair,Not-in-family,White,Male,3,0,40,United-States,<=50K
57,Self-emp-inc,257707,Bachelors,13,Widowed,Tech-support,Not-in-family,White,Male,2988,0,40,United-States,>50K
30,Federal-gov,303091,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,>50K
49,Private,69300,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,15465,0,49,United-States,>50K
21,Private,201750,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,45,United-States,<=50K
51,Private,196875,Assoc-acdm,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,44,United-States,<=50K
64,Self-emp-not-inc,40505,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,>50K
24,Private,254106,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,36,United-States,<=50K
