age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38,Federal-gov,248962,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
80,Private,110841,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,2,0,22,United-States,<=50K
26,Private,203461,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,9,0,61,United-States,<=50K
73,Federal-gov,153791,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,22,United-States,>50K
38,State-gov,198321,Masters,14,Never-married,?,Own-child,White,Male,3,0,40,United-States,<=50K
57,Private,147349,9th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,24,0,40,United-States,<=50K
44,Private,186328,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Portugal,<=50K
51,Local-gov,176415,Some-college,10,Widowed,Other-service,Unmarried,Black,Female,0,0,23,United-States,<=50K
52,Self-emp-inc,112677,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15557,1770,50,United-States,>50K
40,Private,177026,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,13,0,50,United-States,>50K
25,Private,31769,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,11,0,40,United-States,<=50K
49,Private,204167,Some-college,10,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,0,40,Outlying-US(Guam-USVI-etc),<=50K
64,?,174710,5th-6th,3,Never-married,?,Own-child,White,Female,11,0,17,United-States,<=50K
63,Local-gov,145139,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
31,Private,466767,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,Other,Male,26,0,40,United-States,<=50K
26,Private,184322,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
23,Self-emp-not-inc,43887,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,29,0,40,United-States,>50K
23,Without-pay,22811,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,23,0,98,United-States,<=50K
26,Private,202323,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,40,United-States,<=50K
54,Private,133777,Some-college,10,Divorced,Sales,Not-in-family,Black,Male,0,0,36,United-States,<=50K
